,Accomodation_Type,Reco_Insurance_Type,Is_Spouse,Holding_Policy_Duration,Reco_Policy_Premium,Response,X1,X2,X3,X4,X5,X6,X7,X8,Age,City_Code_C10-C18,City_Code_C19-C27,City_Code_C28-C36,Holding_Policy_Type_2.0,Holding_Policy_Type_3.0,Holding_Policy_Type_4.0,Reco_Policy_Cat_12-15,Reco_Policy_Cat_16-22,Reco_Policy_Cat_6-11
47,0,1,0,15,9904.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0,0,0,0,1,0,0,0,0
48,0,0,1,3,8865.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,1,0,0,1,0,0,0,0,0
49,1,0,1,15,19728.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.5,0,0,1,0,1,0,0,0,1
50,0,1,0,15,8340.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0,0,0,0,1,0,0,0,0
51,1,1,0,8,13420.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,0,0,0,0,0,0,1,0,0
52,1,0,1,15,23296.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.5,0,0,1,0,1,0,0,0,0
53,0,1,0,15,11520.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,0,0,0,0,1,0,1,0,0
54,0,1,0,2,7980.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0,0,0,0,0,0,0,1,0
55,1,1,0,15,17416.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,0,0,0,0,1,0,0,1,0
56,0,1,0,15,12880.0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,34.0,0,0,0,0,1,0,0,1,0
57,1,1,0,15,15240.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,1,0,0,0,1,0,0,1,0
58,0,1,0,3,10784.0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,0,0,0,0,0,0,0,1,0
59,1,1,0,2,14872.0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,0,0,0,0,0,1,0,0,1
60,1,0,1,2,16563.2,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.5,1,0,0,0,0,0,0,1,0
61,0,1,0,1,11440.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0,0,0,0,0,0,0,1,0
62,0,1,0,15,4068.0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,22.0,0,0,0,0,1,0,0,1,0
63,1,0,1,5,25708.8,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,0,0,0,1,0,0,0,0,1
64,1,0,1,15,25804.8,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.5,0,0,0,0,1,0,0,1,0
65,0,1,0,15,13220.0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0,0,0,0,1,0,0,1,0
66,1,1,0,3,15392.0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0,0,0,0,1,0,0,0,1
67,1,0,1,9,16614.4,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,0,0,0,0,0,1,0,1,0
68,1,0,1,11,19040.0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,56.5,0,0,0,0,1,0,0,1,0
69,1,0,1,1,27468.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0,0,0,0,1,0,0,1,0
70,1,0,1,15,23961.6,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.5,0,0,0,0,1,0,0,1,0
71,1,1,0,15,16830.0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,0,0,1,0,1,0,0,1,0
72,0,1,0,15,6470.0,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,25.0,0,0,0,0,1,0,0,1,0
73,0,1,0,7,24912.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,1,0,0,0,0,1,0,1,0
74,0,1,0,3,5024.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,1,0,0,0,1,0,0,1,0
75,1,0,1,6,19588.8,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,61.5,0,0,0,0,0,1,0,1,0
76,1,1,0,1,16128.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,0,1,0,1,0,0,1,0,0
77,0,1,0,15,10512.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,1,0,0,0,1,0,0,1,0
78,0,1,0,15,12096.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,45.0,0,0,0,0,1,0,0,1,0
79,1,1,0,15,10224.0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,45.0,0,0,0,0,1,0,0,1,0
80,1,1,0,2,11232.0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,33.0,0,0,0,0,0,0,0,1,0
81,0,0,1,15,12275.2,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.5,0,0,0,0,1,0,1,0,0
82,0,1,0,15,9776.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,1,0,0,0,1,0,0,0,0
83,0,1,0,10,12564.0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,33.0,0,0,0,0,0,1,0,1,0
84,0,1,0,6,7728.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0,0,0,0,0,1,0,1,0
85,0,1,0,7,6070.0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,31.0,0,0,0,0,1,0,0,1,0
86,1,1,0,15,9728.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,0,0,0,0,1,0,0,0,0
87,0,1,0,6,10416.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0,0,0,0,1,0,0,1,0
88,1,1,0,13,23750.0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,75.0,0,0,0,0,1,0,0,1,0
89,0,1,0,15,7160.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0,0,0,0,1,0,0,1,0
90,0,1,0,15,15132.0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,64.0,0,0,0,0,1,0,1,0,0
91,1,0,1,15,25048.8,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,72.5,0,0,0,0,1,0,0,1,0
92,0,1,0,15,19628.0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,60.0,1,0,0,0,1,0,0,1,0
93,1,1,0,15,16016.0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,51.0,1,0,0,0,1,0,0,0,0
94,0,1,0,4,15072.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,46.0,1,0,0,0,0,0,0,1,0
95,1,1,0,15,5104.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,1,0,0,0,1,0,0,1,0
96,1,1,0,13,16408.0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,65.0,0,0,0,0,0,1,0,1,0
97,0,1,0,15,11032.0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,28.0,0,0,0,0,1,0,0,1,0
98,1,1,0,3,16172.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,0,1,0,1,0,0,0,1,0
99,0,1,0,15,5304.0,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,1,0,0,0,1,0,0,1,0
100,1,0,1,15,22860.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.5,0,0,0,0,0,1,0,1,0
101,1,1,0,6,11682.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,1,0,0,0,0,0,1,0,0
102,1,1,0,15,5930.0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,0,0,0,0,1,0,0,0,1
103,0,1,0,15,9760.0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,25.0,0,0,0,0,1,0,0,0,1
104,0,1,0,1,14344.0,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,38.0,0,0,1,0,0,0,0,1,0
105,1,1,0,3,11960.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,1,0,0,0,1,0,0,0,0
106,1,1,0,8,17136.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,0,0,0,0,0,0,0,1,0
107,0,1,0,15,10494.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0,0,0,0,1,0,0,1,0
108,1,1,0,3,21432.0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,75.0,0,0,0,0,0,0,1,0,0
109,1,1,0,4,13222.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,0,0,0,1,0,0,1,0,0
110,0,1,0,15,5950.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0,0,0,0,1,0,0,0,1
111,1,0,0,4,13876.8,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.5,0,0,0,0,1,0,0,1,0
112,1,0,0,4,30624.0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,1,0,0,0,1,0,0,0,0
113,1,1,0,2,6630.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,1,0,0,1,0,0,0,1,0
114,1,1,0,15,18368.0,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,62.0,0,0,0,0,1,0,0,1,0
115,1,1,0,9,20808.0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,75.0,0,0,0,0,0,1,0,1,0
116,1,1,0,15,15008.0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,0,1,0,0,1,0,0,0,0
117,1,1,0,1,15264.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,1,0,0,0,0,0,0,0,0
118,1,1,0,4,20952.0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,0,0,0,0,1,0,0,1,0
119,1,0,1,5,30374.4,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,0,0,0,0,1,0,0,1,0
120,1,1,0,5,15686.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,0,0,0,0,0,0,0,0,0
121,0,1,0,15,8470.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0,0,0,0,1,0,0,1,0
122,1,0,1,15,25284.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.5,0,0,0,0,1,0,0,1,0
123,1,1,0,6,10674.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,0,0,0,0,1,0,0,1,0
124,1,0,1,3,5472.0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,22.5,0,0,0,0,0,1,0,1,0
125,1,1,0,15,13640.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,0,0,0,0,1,0,0,1,0
126,1,1,0,2,16660.0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,0,1,0,0,1,0,1,0,0
127,0,1,0,10,13056.0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,0,0,0,0,1,0,0,1,0
128,1,1,0,15,10422.0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,1,0,0,0,1,0,0,1,0
129,0,1,0,15,4984.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,1,0,0,0,1,0,0,1,0
130,1,1,0,15,14040.0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,45.0,0,0,0,0,0,1,0,1,0
131,0,0,0,15,23696.4,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,41.5,0,0,0,0,1,0,0,1,0
132,1,1,0,1,10272.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,0,0,0,0,1,0,0,1,0
133,0,1,0,3,9548.0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,34.0,1,0,0,0,0,0,0,0,0
134,0,0,1,7,10854.0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,33.5,0,0,0,0,0,0,1,0,0
135,1,1,0,15,17580.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,0,0,0,0,1,0,0,1,0
136,1,1,0,5,9900.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,0,0,0,0,1,0,1,0,0
137,0,1,0,15,17584.0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,52.0,0,0,0,0,1,0,0,1,0
138,1,0,1,5,25079.6,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,65.5,1,0,0,0,0,0,0,1,0
139,1,0,1,4,22554.0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,69.0,0,0,0,0,1,0,1,0,0
140,1,1,0,4,4744.0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,26.0,0,0,0,1,0,0,0,1,0
141,1,0,0,8,12079.2,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,30.5,0,0,0,0,0,0,0,1,0
142,1,1,0,1,7620.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0,0,0,1,0,0,0,0,0
143,1,0,0,15,19602.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,0,0,0,0,1,0,0,0,0
144,1,0,1,6,11865.6,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,30.5,1,0,0,0,1,0,0,1,0
145,0,1,0,5,7742.0,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,1,0,0,0,1,0,1,0,0
146,0,1,0,15,6910.0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0,0,0,0,1,0,0,0,1
147,0,1,0,3,10134.0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,25.0,1,0,0,0,0,0,0,1,0
148,1,1,0,4,13960.0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,38.0,0,0,0,0,1,0,0,1,0
149,1,0,1,5,15334.4,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,25.5,1,0,0,0,1,0,0,0,0
150,1,1,0,15,14000.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,1,0,0,0,0,0,0,1,0
151,0,1,0,15,6270.0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0,0,0,0,1,0,0,0,1
152,0,1,0,3,14080.0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,36.0,0,0,0,0,1,0,0,1,0
153,0,1,0,15,11980.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,0,0,0,0,1,0,0,1,0
154,0,1,0,2,5910.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0,0,0,0,1,0,1,0,0
155,0,1,0,1,6480.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,0,0,0,0,0,0,1,0,0
156,1,1,0,15,14088.0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,44.0,1,0,0,0,1,0,1,0,0
157,1,1,0,15,10908.0,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,54.0,1,0,0,0,1,0,0,1,0
158,1,1,0,4,8246.0,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,35.0,1,0,0,1,0,0,1,0,0
159,1,0,1,10,28044.8,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,74.0,1,0,0,0,0,1,0,1,0
160,0,1,0,2,9478.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,27.0,0,0,0,0,1,0,0,0,1
161,1,0,1,15,12275.2,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.5,1,0,0,0,1,0,1,0,0
162,1,1,0,15,16688.0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,56.0,0,0,0,0,1,0,0,1,0
163,1,1,0,5,13720.0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,1,0,0,0,0,0,0,1,0
164,0,1,0,15,6296.0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,23.0,1,0,0,0,1,0,0,1,0
165,0,1,0,2,4640.0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,26.0,0,0,0,1,0,0,1,0,0
166,0,1,0,1,10864.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0,0,0,0,0,0,0,1,0
167,0,1,0,9,17970.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,0,0,0,0,1,0,0,0,1
168,1,0,1,15,23788.8,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,0,0,0,0,1,0,0,0,0
169,1,0,1,4,31257.4,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,64.5,0,0,0,0,1,0,1,0,0
170,1,0,1,1,24652.8,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,56.0,0,1,0,0,0,0,0,1,0
171,0,1,0,15,18844.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,0,0,0,0,0,0,1,0,0
172,1,0,1,15,31257.4,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.0,1,0,0,1,0,0,0,1,0
173,1,1,0,15,16848.0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,52.0,0,0,0,0,1,0,0,1,0
174,0,1,0,15,17004.0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,72.0,0,0,0,0,1,0,0,1,0
175,0,1,0,15,8124.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0,0,0,0,1,0,0,1,0
176,1,1,0,15,6610.0,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,25.0,1,0,0,0,1,0,0,1,0
177,0,1,0,15,10544.0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,26.0,0,0,0,0,1,0,0,0,0
178,1,1,0,15,15262.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,64.0,0,0,0,0,1,0,0,1,0
179,1,1,0,15,9240.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,0,0,0,0,1,0,0,0,1
180,0,1,0,15,7176.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0,0,0,0,1,0,1,0,0
181,1,0,1,2,21824.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0,0,0,0,1,0,0,1,0
182,1,0,0,15,31257.4,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,44.5,0,0,0,0,1,0,0,1,0
183,0,1,0,15,9936.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,1,0,0,0,1,0,0,0,0
184,0,1,0,15,9982.0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,20.0,0,0,0,0,1,0,0,1,0
185,0,1,0,15,14014.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0,0,0,0,1,0,0,0,0
186,1,1,0,14,16718.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,0,0,0,0,1,0,0,0,1
187,1,1,0,15,5560.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,1,0,0,0,1,0,1,0,0
188,0,1,0,15,10032.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0,0,0,0,1,0,1,0,0
189,0,1,0,15,16146.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,0,1,0,0,1,0,0,1,0
190,1,1,0,15,9730.0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,28.0,0,1,0,0,1,0,0,1,0
